DataSet,Batch_No,SampleID,QC_Category,Orig_SampleID,RepeatResult,OriginalResult,GenericMethod,Element,UnitCode,SystemUnits,LimitLower,LabCode,RepeatRepeatType,OrigRepeatType,RepeatLab,RepeatBatch,RepeatMethod,MeanResult,Preferred,Hole_ID
Arizaro,MEN11000955,518802,CHECK ASSAY,518802,0.074751491,0.078,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.076375746,0,ARD 09
Arizaro,MEN11000955,518812,CHECK ASSAY,518812,0.245360825,0.247,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.246180412,0,ARD 09
Arizaro,MEN11000955,518822,CHECK ASSAY,518822,0.3556,0.323,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.3393,0,ARD 09
Arizaro,MEN11000955,518832,CHECK ASSAY,518832,0.966135458,0.658,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.812067729,0,ARD 09
Arizaro,MEN11000955,518842,CHECK ASSAY,518842,0.508467742,0.483,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.495733871,0,ARD 09
Arizaro,MEN11000955,518852,CHECK ASSAY,518852,0.152515091,0.602,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.377257545,0,ARD 09
Arizaro,MEN11000955,518862,CHECK ASSAY,518862,0.3396,0.366,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.3528,0,ARD 09
Arizaro,MEN11000955,518872,CHECK ASSAY,518872,0.260569106,0.04,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.150284553,0,ARD 09
Arizaro,MEN11000955,518882,CHECK ASSAY,518882,0.592771084,0.599,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.595885542,0,ARD 09
Arizaro,MEN11000955,518892,CHECK ASSAY,518892,0.08458498,0.126,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.10529249,0,ARD 09
Arizaro,MEN11000955,518902,CHECK ASSAY,518902,0.545238095,0.379,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.462119048,0,ARD 09
Arizaro,MEN11000955,518912,CHECK ASSAY,518912,0.24750499,0.359,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.303252495,0,ARD 09
Arizaro,MEN11000956,518922,CHECK ASSAY,518922,0.1856,0.188,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.1868,0,ARD 09
Arizaro,MEN11000956,518932,CHECK ASSAY,518932,0.484104628,0.314,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.399052314,0,ARD 09
Arizaro,MEN11000956,518942,CHECK ASSAY,518942,0.132113821,0.134,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.133056911,0,ARD 09
Arizaro,MEN11000956,518952,CHECK ASSAY,518952,0.1216,0.116,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.1188,0,ARD 09
Arizaro,MEN11000956,518962,CHECK ASSAY,518962,0.352079208,0.407,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.379539604,0,ARD 09
Arizaro,MEN11000956,518972,CHECK ASSAY,518972,0.098425197,0.097,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.097712598,0,ARD 09
Arizaro,MEN11000956,518982,CHECK ASSAY,518982,0.112224449,0.114,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.113112224,0,ARD 09
Arizaro,MEN11000956,518992,CHECK ASSAY,518992,0.116633267,0.121,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.118816633,0,ARD 09
Arizaro,MEN11000956,519002,CHECK ASSAY,519002,0.0951417,0.105,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.10007085,0,ARD 09
Arizaro,MEN11000956,519012,CHECK ASSAY,519012,0.058283433,0.071,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.064641717,0,ARD 09
Arizaro,MEN11000956,519022,CHECK ASSAY,519022,0.132926829,0.145,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.138963415,0,ARD 09
Arizaro,MEN11000956,519032,CHECK ASSAY,519032,0.122828283,0.122,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.122414141,0,ARD 09
Arizaro,MEN11000956,519042,CHECK ASSAY,519042,0.155734406,0.123,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.139367203,0,ARD 09
Arizaro,MEN11001020,519052,CHECK ASSAY,519052,0.129124236,0.176,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.152562118,0,ARD 09
Arizaro,MEN11001020,519062,CHECK ASSAY,519062,0.076422764,0.094,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.085211382,0,ARD 09
Arizaro,MEN11001020,519072,CHECK ASSAY,519072,0.075806452,0.218,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.146903226,0,ARD 09
Arizaro,MEN11001020,519082,CHECK ASSAY,519082,0.0104,0.017,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.0137,,ARD 09
Arizaro,MEN11001020,519092,CHECK ASSAY,519092,0.377154309,0.359,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.368077154,,ARD 10
Arizaro,MEN11001020,519102,CHECK ASSAY,519102,0.284356436,0.147,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.215678218,,ARD 10
Arizaro,MEN11001020,519112,CHECK ASSAY,519112,0.08040404,0.088,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.08420202,,ARD 10
Arizaro,MEN11001020,519122,CHECK ASSAY,519122,0.23805668,0.258,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.24802834,,ARD 10
Arizaro,MEN11001020,519132,CHECK ASSAY,519132,0.186345382,0.225,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.205672691,,ARD 10
Arizaro,MEN11001020,519142,CHECK ASSAY,519142,0.153131313,0.327,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.240065657,,ARD 10
Arizaro,MEN11001020,519152,CHECK ASSAY,519152,0.088709677,0.101,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.094854839,,ARD 10
Arizaro,MEN11001020,519162,CHECK ASSAY,519162,0.104536489,0.118,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.111268245,,ARD 10
Arizaro,MEN11001020,519172,CHECK ASSAY,519172,0.091783567,0.063,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.077391784,,ARD 10
Arizaro,MEN11001020,519182,CHECK ASSAY,519182,0.055353535,0.115,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.085176768,,ARD 10
Arizaro,MEN11001020,519192,CHECK ASSAY,519192,0.196774194,0.251,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.223887097,,ARD 10
Arizaro,MEN11001140,519202,CHECK ASSAY,519202,0.190532544,0.207,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.198766272,,ARD 10
Arizaro,MEN11001140,519212,CHECK ASSAY,519212,0.205940594,0.215,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.210470297,,ARD 10
Arizaro,MEN11001140,519222,CHECK ASSAY,519222,0.252191235,0.261,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.256595618,,ARD 10
Arizaro,MEN11001140,519232,CHECK ASSAY,519232,0.243145161,0.265,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.254072581,,ARD 10
Arizaro,MEN11001140,519242,CHECK ASSAY,519242,0.137875752,0.142,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.139937876,,ARD 10
Arizaro,MEN11001140,519252,CHECK ASSAY,519252,0.143373494,0.158,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.150686747,,ARD 10
Arizaro,MEN11001140,519262,CHECK ASSAY,519262,0.066666667,0.076,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.071333333,,ARD 10
Arizaro,MEN11001137,519272,CHECK ASSAY,519272,0.402777778,0.411,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.406888889,,ARD 10
Arizaro,MEN11001137,519282,CHECK ASSAY,519282,0.078486056,0.1,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.089243028,,ARD 10
Arizaro,MEN11001137,519292,CHECK ASSAY,519292,0.053571429,0.06,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.056785714,,ARD 11
Arizaro,MEN11001137,519302,CHECK ASSAY,519302,0.104950495,0.133,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.118975248,,ARD 11
Arizaro,MEN11001137,519312,CHECK ASSAY,519312,0.143887776,0.147,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.145443888,,ARD 10
Arizaro,MEN11001137,519322,CHECK ASSAY,519322,0.05559322,0.074,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.06479661,,ARD 11
Arizaro,MEN11001137,519332,CHECK ASSAY,519332,0.34334471,0.335,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.339172355,,ARD 11
Arizaro,MEN11001155,519342,CHECK ASSAY,519342,1.441176471,1.477,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,1.459088235,,ARD 11
Arizaro,MEN11001155,519352,CHECK ASSAY,519352,0.088,0.087,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.0875,,ARD 11
Arizaro,MEN11001155,519362,CHECK ASSAY,519362,0.036726547,0.046,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.041363273,,ARD 11
Arizaro,MEN11001155,519372,CHECK ASSAY,519372,0.180952381,0.662,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.42147619,,ARD 11
Arizaro,MEN11001155,519382,CHECK ASSAY,519382,0.125252525,0.118,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.121626263,,ARD 11
Arizaro,MEN11001155,519392,CHECK ASSAY,519392,0.201333333,0.265,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.233166667,,ARD 11
Arizaro,MEN11001155,519402,CHECK ASSAY,519402,0.151724138,0.222,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.186862069,,ARD 11
Arizaro,MEN11001155,519412,CHECK ASSAY,519412,0.113804714,0.07,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.091902357,,ARD 11
Arizaro,MEN11001155,519422,CHECK ASSAY,519422,0.089795918,0.14,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.114897959,,ARD 11
Arizaro,MEN11001156,519432,CHECK ASSAY,519432,0.11752988,0.124,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.12076494,,ARD 11
Arizaro,MEN11001156,519442,CHECK ASSAY,519442,0.052491694,0.058,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.055245847,,ARD 11
Arizaro,MEN11001156,519452,CHECK ASSAY,519452,0.396341463,0.324,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.360170732,,ARD 11
Arizaro,MEN11001156,519462,CHECK ASSAY,519462,0.059229209,0.066,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.062614604,,ARD 11
Arizaro,MEN11001156,519472,CHECK ASSAY,519472,0.116167665,0.143,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.129583832,,ARD 11
Arizaro,MEN11001156,519482,CHECK ASSAY,519482,0.046052632,0.059,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.052526316,,ARD 11
Arizaro,MEN11001156,519492,CHECK ASSAY,519492,0.040650407,0.056,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.048325203,,ARD 11
Arizaro,MEN11001156,519502,CHECK ASSAY,519502,0.195564516,0.262,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.228782258,,ARD 11
Arizaro,MEN11001156,519512,CHECK ASSAY,519512,0.065469062,0.076,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.070734531,,ARD 11
Arizaro,MEN11001156,519522,CHECK ASSAY,519522,1.366442953,1.437,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,1.401721477,,ARD 11
Arizaro,MEN11001226,520402,CHECK ASSAY,520402,0.022003929,0.029,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.025501965,,ARD 12
Arizaro,MEN11001226,520412,CHECK ASSAY,520412,0.318712274,0.328,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.323356137,,ARD 12
Arizaro,MEN11001318,520422,CHECK ASSAY,520422,0.056161616,0.054,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.055080808,,ARD 12
Arizaro,MEN11001318,520432,CHECK ASSAY,520432,0.302946955,0.295,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.298973477,,ARD 12
Arizaro,MEN11001318,520442,CHECK ASSAY,520442,0.150712831,0.171,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.160856415,,ARD 12
Arizaro,MEN11001318,520452,CHECK ASSAY,520452,0.100203666,0.099,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.099601833,,ARD 12
Arizaro,MEN11001318,520462,CHECK ASSAY,520462,0.121126761,0.142,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.13156338,,ARD 12
Arizaro,MEN11001323,520472,CHECK ASSAY,520472,0.094234592,0.105,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.099617296,,ARD 12
Arizaro,MEN11001323,520482,CHECK ASSAY,520482,0.152653061,0.183,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.167826531,,ARD 12
Arizaro,MEN11001323,520492,CHECK ASSAY,520492,0.176633663,0.205,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.190816832,,ARD 12
Arizaro,MEN11001323,520502,CHECK ASSAY,520502,0.172635815,0.173,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.172817907,,ARD 12
Arizaro,MEN11001323,520512,CHECK ASSAY,520512,0.516500994,0.784,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.650250497,,ARD 12
Arizaro,MEN11001323,520522,CHECK ASSAY,520522,0.60438247,0.513,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.558691235,,ARD 12
Arizaro,MEN11001323,520532,CHECK ASSAY,520532,0.118737673,0.113,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.115868836,,ARD 12
Arizaro,MEN11001323,520542,CHECK ASSAY,520542,0.131854839,0.14,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.135927419,,ARD 12
Arizaro,MEN11001323,520552,CHECK ASSAY,520552,1.242315369,0.713,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.977657685,,ARD 12
Arizaro,MEN11001323,520562,CHECK ASSAY,520562,0.26639839,0.357,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.311699195,,ARD 12
Arizaro,MEN11001323,520572,CHECK ASSAY,520572,0.105490196,0.128,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.116745098,,ARD 12
Arizaro,MEN11001323,520582,CHECK ASSAY,520582,0.211904762,0.251,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.231452381,,ARD 12
Arizaro,MEN11001324,520592,CHECK ASSAY,520592,0.495934959,0.408,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.45196748,,ARD 12
Arizaro,MEN11001324,520602,CHECK ASSAY,520602,0.118811881,0.126,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.122405941,,ARD 12
Arizaro,MEN11001324,520612,CHECK ASSAY,520612,0.107815631,0.316,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.211907816,,ARD 12
Arizaro,MEN11001324,520622,CHECK ASSAY,520622,0.138955823,0.192,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.165477912,,ARD 12
Arizaro,MEN11001324,520632,CHECK ASSAY,520632,0.190818363,0.17,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.180409182,,ARD 12
Arizaro,MEN11001324,520642,CHECK ASSAY,520642,0.151093439,0.139,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.14504672,,ARD 12
Arizaro,MEN11001324,520652,CHECK ASSAY,520652,0.071372549,0.08,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.075686275,,ARD 12
Arizaro,MEN11001324,520662,CHECK ASSAY,520662,0.054473161,2.304,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,1.179236581,,ARD 12
Arizaro,MEN11001324,520672,CHECK ASSAY,520672,0.07,0.089,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.0795,,ARD 12
Arizaro,MEN11001324,520682,CHECK ASSAY,520682,0.087649402,0.111,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.099324701,,ARD 12
Arizaro,MEN11001432,520692,CHECK ASSAY,520692,0.154545455,0.237,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.195772727,,ARD 13
Arizaro,MEN11001432,520702,CHECK ASSAY,520702,0.290373281,0.377,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.33368664,,ARD 13
Arizaro,MEN11001432,520712,CHECK ASSAY,520712,0.101976285,0.143,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.122488142,,ARD 13
Arizaro,MEN11001432,520722,CHECK ASSAY,520722,1.597211155,1.468,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,1.532605578,,ARD 13
Arizaro,MEN11001432,520732,CHECK ASSAY,520732,0.208284024,0.282,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.245142012,,ARD 13
Arizaro,MEN11001432,520742,CHECK ASSAY,520742,0.303732809,0.342,M122358,Au,ppm,ppm,0.01,ACME,0,0,ALEX STEWART,M122358,,0.322866405,,ARD 13
